ID,운동명(한글),운동명(영문),대분류,소분류,주동근,보조근,기구,운동유형,난이도
706,싱글 암 케이블 트라이셉스 킥백,Single-Arm Cable Triceps Kickback,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
707,싱글 암 케이블 페이스 풀,Single-Arm Cable Face Pull,어깨,후면삼각근,후면삼각근,능형근,케이블,Isolation,Intermediate
708,싱글 암 케이블 슈러그,Single-Arm Cable Shrug,등,승모근,상부승모근,전완근,케이블,Isolation,Beginner
709,로프 케이블 프론트 레이즈,Rope Cable Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,케이블,Isolation,Beginner
710,로프 케이블 업라이트 로우,Rope Cable Upright Row,어깨,측면삼각근,측면삼각근,승모근,케이블,Compound,Beginner
711,케이블 컨센트레이션 컬,Cable Concentration Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
712,로우 케이블 레터럴 레이즈,Low Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
713,케이블 21s 컬,Cable 21s Curl,팔,이두근,이두근,전완근,케이블,Isolation,Intermediate
714,와이드 그립 케이블 푸시다운,Wide-Grip Cable Pushdown,팔,삼두근,삼두근 외측두,-,케이블,Isolation,Beginner
715,케이블 바 인클라인 컬,Cable Bar Incline Curl,팔,이두근,이두근 장두,전완근,케이블,Isolation,Intermediate
716,시티드 싱글 암 덤벨 숄더 프레스,Seated Single-Arm Dumbbell Shoulder Press,어깨,전면삼각근,전면삼각근,코어·삼두근,덤벨,Compound,Intermediate
717,싱글 암 덤벨 프론트 레이즈,Single-Arm Dumbbell Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,덤벨,Isolation,Beginner
718,싱글 암 덤벨 레터럴 레이즈,Single-Arm Dumbbell Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,덤벨,Isolation,Beginner
719,얼터네이팅 덤벨 컬,Alternating Dumbbell Curl,팔,이두근,이두근,전완근,덤벨,Isolation,Beginner
720,얼터네이팅 덤벨 숄더 프레스,Alternating Dumbbell Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,덤벨,Compound,Beginner
721,얼터네이팅 덤벨 프론트 레이즈,Alternating Dumbbell Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,덤벨,Isolation,Beginner
722,덤벨 리버스 컬,Dumbbell Reverse Curl,팔,전완근,상완요골근,이두근,덤벨,Isolation,Beginner
723,시티드 덤벨 슈러그,Seated Dumbbell Shrug,등,승모근,상부승모근,전완근,덤벨,Isolation,Beginner
724,싱글 암 인클라인 덤벨 컬,Single-Arm Incline Dumbbell Curl,팔,이두근,이두근 장두,전완근,덤벨,Isolation,Intermediate
725,덤벨 플로어 플라이,Dumbbell Floor Fly,가슴,중부가슴,대흉근,전면삼각근,덤벨,Isolation,Beginner
726,크로스 벤치 덤벨 풀오버,Cross-Bench Dumbbell Pullover,가슴,중부가슴,대흉근,광배근,덤벨,Isolation,Intermediate
727,덤벨 스윙,Dumbbell Swing,전신,둔근,둔근·햄스트링,어깨·코어,덤벨,Compound,Intermediate
728,덤벨 스내치,Dumbbell Snatch,전신,삼각근,둔근·삼각근,승모근,덤벨,Compound,Advanced
729,덤벨 클린,Dumbbell Clean,전신,둔근,둔근·햄스트링,승모근,덤벨,Compound,Intermediate
730,덤벨 클린 앤 프레스,Dumbbell Clean and Press,전신,전면삼각근,둔근·삼각근,삼두근,덤벨,Compound,Intermediate
731,덤벨 윈드밀,Dumbbell Windmill,코어,복사근,복사근·어깨,햄스트링,덤벨,Compound,Advanced
732,덤벨 터키시 겟업,Dumbbell Turkish Get-Up,전신,코어,어깨·코어,둔근,덤벨,Compound,Advanced
733,덤벨 렌리게이드 로우,Dumbbell Renegade Row,등,광배근,광배근·코어,후면삼각근,덤벨,Compound,Advanced
734,덤벨 풀 쓰루,Dumbbell Pull-Through,하체,둔근,둔근·햄스트링,척추기립근,덤벨,Compound,Beginner
735,덤벨 스티프 레그 데드리프트,Dumbbell Stiff-Leg Deadlift,하체,햄스트링,햄스트링,둔근,덤벨,Compound,Beginner
736,덤벨 스모 데드리프트,Dumbbell Sumo Deadlift,하체,둔근,둔근·내전근,햄스트링,덤벨,Compound,Beginner
737,덤벨 힙 쓰러스트,Dumbbell Hip Thrust,하체,둔근,대둔근,햄스트링,덤벨,Compound,Beginner
738,덤벨 글루트 브릿지,Dumbbell Glute Bridge,하체,둔근,대둔근,햄스트링,덤벨,Isolation,Beginner
739,시티드 덤벨 카프 레이즈,Seated Dumbbell Calf Raise,하체,가자미근,가자미근,비복근,덤벨,Isolation,Beginner
740,덤벨 프론트 스쿼트,Dumbbell Front Squat,하체,대퇴사두,대퇴사두·둔근,코어,덤벨,Compound,Intermediate
741,덤벨 리어 델트 로우,Dumbbell Rear Delt Row,어깨,후면삼각근,후면삼각근,능형근,덤벨,Compound,Intermediate
742,인클라인 덤벨 Y 레이즈,Incline Dumbbell Y-Raise,어깨,재활,하부승모근,후면삼각근,덤벨,Isolation,Beginner
743,인클라인 덤벨 T 레이즈,Incline Dumbbell T-Raise,어깨,재활,중부승모근,능형근,덤벨,Isolation,Beginner
744,프론 인클라인 덤벨 슈러그,Prone Incline Dumbbell Shrug,등,승모근,중하부승모근,능형근,덤벨,Isolation,Intermediate
745,덤벨 21s 컬,Dumbbell 21s Curl,팔,이두근,이두근,전완근,덤벨,Isolation,Intermediate
746,와이드 그립 업라이트 로우,Wide-Grip Upright Row,어깨,측면삼각근,측면삼각근,승모근,바벨,Compound,Intermediate
747,클로즈 그립 업라이트 로우,Close-Grip Upright Row,어깨,승모근,승모근·측면삼각근,이두근,바벨,Compound,Intermediate
748,데피싯 펜들레이 로우,Deficit Pendlay Row,등,광배근,광배근·능형근,후면삼각근,바벨,Compound,Advanced
749,바벨 헥 리프트,Barbell Hack Lift,하체,대퇴사두,대퇴사두·둔근,전완근,바벨,Compound,Intermediate
750,제퍼슨 데드리프트,Jefferson Deadlift,하체,둔근,둔근·대퇴사두,척추기립근,바벨,Compound,Advanced
751,스내치 그립 로우,Snatch-Grip Row,등,광배근,광배근·후면삼각근,능형근,바벨,Compound,Intermediate
752,바벨 프론트 레이즈,Barbell Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,바벨,Isolation,Beginner
753,바벨 리버스 리스트 컬,Barbell Reverse Wrist Curl,팔,전완근,전완 신근,-,바벨,Isolation,Beginner
754,바벨 런지,Barbell Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Intermediate
755,바벨 리버스 런지,Barbell Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Intermediate
756,바벨 스텝업,Barbell Step-Up,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Intermediate
757,바벨 카프 레이즈,Barbell Calf Raise,하체,비복근,비복근,가자미근,바벨,Isolation,Beginner
758,제르커 스쿼트,Zercher Squat,하체,대퇴사두,대퇴사두·둔근,코어,바벨,Compound,Advanced
759,제르커 데드리프트,Zercher Deadlift,하체,둔근,둔근·햄스트링,코어·전완근,바벨,Compound,Advanced
760,제르커 캐리,Zercher Carry,전신,코어,코어·전완근,승모근,바벨,Compound,Intermediate
761,컨버징 체스트 프레스 머신,Converging Chest Press Machine,가슴,중부가슴,대흉근,삼두근,머신,Compound,Beginner
762,컨버징 숄더 프레스 머신,Converging Shoulder Press Machine,어깨,전면삼각근,전면삼각근,삼두근,머신,Compound,Beginner
763,다이버징 랫 풀다운,Diverging Lat Pulldown,등,광배근,광배근,이두근,머신,Compound,Beginner
764,스탠딩 레그 컬 머신,Standing Leg Curl Machine,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
765,라잉 T바 로우 머신,Lying T-Bar Row Machine,등,광배근,광배근·능형근,후면삼각근,머신,Compound,Beginner
766,리버스 핵 스쿼트,Reverse Hack Squat,하체,둔근,둔근·햄스트링,대퇴사두,머신,Compound,Intermediate
767,인클라인 펙 플라이 머신,Incline Chest Fly Machine,가슴,상부가슴,대흉근 상부,전면삼각근,머신,Isolation,Beginner
768,디클라인 펙 플라이 머신,Decline Chest Fly Machine,가슴,하부가슴,대흉근 하부,전면삼각근,머신,Isolation,Beginner
769,시티드 레그 프레스 머신,Seated Leg Press Machine,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Beginner
770,호리즌탈 카프 레이즈 머신,Horizontal Calf Raise Machine,하체,비복근,비복근,가자미근,머신,Isolation,Beginner
771,싱글 레그 박스 점프,Single-Leg Box Jump,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Advanced
772,싱글 레그 브로드 점프,Single-Leg Broad Jump,전신,플라이오메트릭,둔근·대퇴사두,햄스트링,맨몸,Compound,Advanced
773,버피 박스 점프 오버,Burpee Box Jump-Over,전신,플라이오메트릭,대퇴사두·대흉근,코어,맨몸,Compound,Advanced
774,버피 풀업,Burpee Pull-Up,전신,기능성,광배근·대흉근,대퇴사두·코어,맨몸,Compound,Advanced
775,싱글 언더,Single Under,유산소,컨디셔닝,비복근,어깨·전완근,기타,Compound,Beginner
776,래터럴 박스 셔플,Lateral Box Shuffle,유산소,컨디셔닝,대퇴사두·둔근,비복근,맨몸,Compound,Beginner
777,스텝업 점프,Step-Up Jump,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
778,케틀벨 클린 앤 저크,Kettlebell Clean and Jerk,전신,올림픽리프팅,둔근·삼각근,삼두근,케틀벨,Compound,Advanced
779,메디신볼 백 토스,Medicine Ball Backward Toss,전신,컨디셔닝,둔근·삼각근,코어,메디신볼,Compound,Intermediate
780,메디신볼 스쿼트 투 프레스,Medicine Ball Squat to Press,전신,기능성,대퇴사두·삼각근,둔근,메디신볼,Compound,Beginner
781,파워 스텝업,Power Step-Up,전신,플라이오메트릭,대퇴사두·둔근,고관절굴근,맨몸,Compound,Intermediate
782,크리스크로스 점프 로프,Criss-Cross Jump Rope,유산소,컨디셔닝,비복근,어깨,기타,Compound,Intermediate
783,인치웜 푸시업,Inchworm Push-Up,전신,기능성,대흉근·코어,어깨·햄스트링,맨몸,Compound,Intermediate
784,스프롤,Sprawl,전신,컨디셔닝,코어·대퇴사두,어깨,맨몸,Compound,Beginner
785,스타 점프,Star Jump,유산소,플라이오메트릭,대퇴사두·삼각근,둔근,맨몸,Compound,Beginner
786,넥 스트레치,Neck Stretch,목,스트레칭,흉쇄유돌근,승모근,맨몸,Isolation,Beginner
787,크로스바디 숄더 스트레치,Cross-Body Shoulder Stretch,어깨,스트레칭,후면삼각근,능형근,맨몸,Isolation,Beginner
788,오버헤드 트라이셉스 스트레치,Overhead Triceps Stretch,팔,스트레칭,삼두근,광배근,맨몸,Isolation,Beginner
789,도어웨이 체스트 스트레치,Doorway Chest Stretch,가슴,스트레칭,대흉근,전면삼각근,맨몸,Isolation,Beginner
790,래트 스트레치,Lat Stretch,등,스트레칭,광배근,대원근,맨몸,Isolation,Beginner
791,스탠딩 쿼드 스트레치,Standing Quad Stretch,하체,스트레칭,대퇴사두,고관절굴근,맨몸,Isolation,Beginner
792,월 카프 스트레치,Wall Calf Stretch,하체,스트레칭,비복근,가자미근,맨몸,Isolation,Beginner
793,닐링 힙 플렉서 스트레치,Kneeling Hip Flexor Stretch,하체,스트레칭,고관절굴근,대퇴사두,맨몸,Isolation,Beginner
794,시티드 글루트 스트레치,Seated Glute Stretch,하체,스트레칭,둔근,이상근,맨몸,Isolation,Beginner
795,시티드 스파인 트위스트,Seated Spinal Twist,코어,스트레칭,복사근,척추기립근,맨몸,Isolation,Beginner
796,스레드 더 니들,Thread the Needle,등,모빌리티,흉추기립근,후면삼각근,맨몸,Isolation,Beginner
797,리스트 플렉서 스트레치,Wrist Flexor Stretch,팔,스트레칭,전완 굴근,-,맨몸,Isolation,Beginner
798,리스트 익스텐서 스트레치,Wrist Extensor Stretch,팔,스트레칭,전완 신근,-,맨몸,Isolation,Beginner
799,앵클 모빌리티 드릴,Ankle Mobility Drill,하체,모빌리티,발목,비복근,맨몸,Isolation,Beginner
800,폼롤러 쿼드 릴리즈,Foam Roller Quad Release,하체,스트레칭,대퇴사두,장경인대,기타,Isolation,Beginner
801,스미스 머신 프론트 스쿼트,Smith Machine Front Squat,하체,대퇴사두,대퇴사두·둔근,코어,스미스,Compound,Beginner
802,스미스 머신 불가리안 스플릿 스쿼트,Smith Machine Bulgarian Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,스미스,Compound,Intermediate
803,스미스 머신 시티드 카프 레이즈,Smith Machine Seated Calf Raise,하체,가자미근,가자미근,비복근,스미스,Isolation,Beginner
804,스미스 머신 데드리프트,Smith Machine Deadlift,하체,둔근,둔근·햄스트링,척추기립근,스미스,Compound,Beginner
805,스미스 머신 루마니안 데드리프트,Smith Machine Romanian Deadlift,하체,햄스트링,햄스트링·둔근,척추기립근,스미스,Compound,Beginner
806,스미스 머신 굿모닝,Smith Machine Good Morning,등,척추기립근,척추기립근·햄스트링,둔근,스미스,Compound,Intermediate
807,스미스 머신 슈러그,Smith Machine Shrug,등,승모근,상부승모근,전완근,스미스,Isolation,Beginner
808,스미스 머신 업라이트 로우,Smith Machine Upright Row,어깨,측면삼각근,측면삼각근,승모근,스미스,Compound,Beginner
809,스미스 머신 인버티드 로우,Smith Machine Inverted Row,등,광배근,광배근·능형근,이두근,스미스,Compound,Beginner
810,스미스 머신 클로즈 그립 벤치프레스,Smith Machine Close-Grip Bench Press,팔,삼두근,삼두근,대흉근,스미스,Compound,Beginner
811,스미스 머신 박스 스쿼트,Smith Machine Box Squat,하체,둔근,둔근·대퇴사두,햄스트링,스미스,Compound,Beginner
812,스미스 머신 스티프 레그 데드리프트,Smith Machine Stiff-Leg Deadlift,하체,햄스트링,햄스트링,둔근,스미스,Compound,Beginner
813,케틀벨 데드 클린,Kettlebell Dead Clean,전신,둔근,둔근·햄스트링,승모근,케틀벨,Compound,Intermediate
814,케틀벨 푸시 프레스,Kettlebell Push Press,어깨,전면삼각근,전면삼각근·대퇴사두,삼두근,케틀벨,Compound,Intermediate
815,케틀벨 저크,Kettlebell Jerk,전신,전면삼각근,삼각근·대퇴사두,삼두근,케틀벨,Compound,Advanced
816,더블 케틀벨 클린,Double Kettlebell Clean,전신,둔근,둔근·햄스트링,승모근·전완근,케틀벨,Compound,Advanced
817,더블 케틀벨 프레스,Double Kettlebell Press,어깨,전면삼각근,전면삼각근,삼두근,케틀벨,Compound,Intermediate
818,더블 케틀벨 스내치,Double Kettlebell Snatch,전신,둔근,둔근·삼각근,코어,케틀벨,Compound,Advanced
819,케틀벨 시소 로우,Kettlebell Seesaw Row,등,광배근,광배근,능형근,케틀벨,Compound,Intermediate
820,케틀벨 스모 스쿼트,Kettlebell Sumo Squat,하체,내전근,내전근·둔근,대퇴사두,케틀벨,Compound,Beginner
821,케틀벨 사이드 런지,Kettlebell Side Lunge,하체,내전근,내전근·둔근,대퇴사두,케틀벨,Compound,Intermediate
822,케틀벨 오버헤드 스쿼트,Kettlebell Overhead Squat,전신,대퇴사두,대퇴사두·삼각근,코어,케틀벨,Compound,Advanced
823,케틀벨 오버헤드 캐리,Kettlebell Overhead Carry,어깨,삼각근,삼각근·코어,전완근,케틀벨,Compound,Intermediate
824,케틀벨 래크 캐리,Kettlebell Rack Carry,코어,코어,코어·전완근,승모근,케틀벨,Compound,Beginner
825,케틀벨 클린 앤 스쿼트,Kettlebell Clean and Squat,전신,대퇴사두,대퇴사두·둔근,승모근,케틀벨,Compound,Intermediate
826,케틀벨 풀오버,Kettlebell Pullover,등,광배근,광배근,대흉근,케틀벨,Isolation,Intermediate
827,TRX 풀업,TRX Pull-Up,등,광배근,광배근,이두근,TRX,Compound,Advanced
828,TRX Y 플라이,TRX Y-Fly,어깨,재활,하부승모근,후면삼각근,TRX,Isolation,Intermediate
829,TRX T 플라이,TRX T-Fly,어깨,후면삼각근,후면삼각근,능형근,TRX,Isolation,Intermediate
830,TRX 페이스 풀,TRX Face Pull,어깨,후면삼각근,후면삼각근,능형근,TRX,Isolation,Beginner
831,TRX 싱글 레그 스쿼트,TRX Single-Leg Squat,하체,대퇴사두,대퇴사두·둔근,코어,TRX,Compound,Advanced
832,TRX 스쿼트,TRX Squat,하체,대퇴사두,대퇴사두·둔근,코어,TRX,Compound,Beginner
833,TRX 애토믹 푸시업,TRX Atomic Push-Up,가슴,중부가슴,대흉근·복직근,삼두근,TRX,Compound,Advanced
834,TRX 마운틴 클라이머,TRX Mountain Climber,코어,복직근,복직근,고관절굴근,TRX,Compound,Intermediate
835,TRX 오블리크 크런치,TRX Oblique Crunch,코어,복사근,복사근,복직근,TRX,Isolation,Intermediate
836,TRX 사이드 플랭크,TRX Side Plank,코어,복사근,복사근,중둔근,TRX,Isolation,Advanced
837,밴드 시티드 로우,Band Seated Row,등,광배근,광배근·능형근,이두근,밴드,Compound,Beginner
838,밴드 해머 컬,Band Hammer Curl,팔,이두근,이두근·상완근,전완근,밴드,Isolation,Beginner
839,밴드 리어 델트 플라이,Band Rear Delt Fly,어깨,후면삼각근,후면삼각근,능형근,밴드,Isolation,Beginner
840,밴드 프론트 레이즈,Band Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,밴드,Isolation,Beginner
841,밴드 업라이트 로우,Band Upright Row,어깨,측면삼각근,측면삼각근,승모근,밴드,Compound,Beginner
842,밴드 트라이셉스 킥백,Band Triceps Kickback,팔,삼두근,삼두근,-,밴드,Isolation,Beginner
843,밴드 레그 컬,Band Leg Curl,하체,햄스트링,햄스트링,비복근,밴드,Isolation,Beginner
844,밴드 레그 익스텐션,Band Leg Extension,하체,대퇴사두,대퇴사두,-,밴드,Isolation,Beginner
845,밴드 클램쉘,Band Clamshell,하체,중둔근,중둔근,대둔근,밴드,Isolation,Beginner
846,밴드 스탠딩 힙 어브덕션,Band Standing Hip Abduction,하체,중둔근,중둔근,대둔근,밴드,Isolation,Beginner
847,싱글 레그 데드리프트,Single-Leg Deadlift,하체,햄스트링,햄스트링·둔근,척추기립근,바벨,Compound,Advanced
848,싱글 레그 핵 스쿼트,Single-Leg Hack Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Intermediate
849,싱글 레그 글루트 킥백 머신,Single-Leg Glute Kickback Machine,하체,둔근,대둔근,햄스트링,머신,Isolation,Beginner
850,싱글 레그 스미스 카프 레이즈,Single-Leg Smith Calf Raise,하체,비복근,비복근,가자미근,스미스,Isolation,Intermediate
851,케틀벨 스텝업,Kettlebell Step-Up,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Beginner
852,케틀벨 리버스 런지,Kettlebell Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,케틀벨,Compound,Beginner
853,트랩바 루마니안 데드리프트,Trap Bar Romanian Deadlift,하체,햄스트링,햄스트링·둔근,척추기립근,바벨,Compound,Intermediate
854,트랩바 슈러그,Trap Bar Shrug,등,승모근,상부승모근,전완근,바벨,Isolation,Beginner
855,트랩바 카프 레이즈,Trap Bar Calf Raise,하체,비복근,비복근,가자미근,바벨,Isolation,Beginner
856,핵 스쿼트 카프 레이즈,Hack Squat Calf Raise,하체,비복근,비복근,가자미근,머신,Isolation,Beginner
857,위티드 시시 스쿼트,Weighted Sissy Squat,하체,대퇴사두,대퇴사두,-,원판,Isolation,Advanced
858,밴드 글루트 햄 레이즈,Band Glute-Ham Raise,하체,햄스트링,햄스트링·둔근,척추기립근,밴드,Compound,Intermediate
859,위티드 노르딕 컬,Weighted Nordic Curl,하체,햄스트링,햄스트링,둔근,원판,Isolation,Advanced
860,위티드 백 익스텐션,Weighted Back Extension,등,척추기립근,척추기립근,둔근·햄스트링,원판,Isolation,Intermediate
861,위티드 45도 하이퍼익스텐션,Weighted 45-Degree Hyperextension,등,척추기립근,척추기립근,둔근,원판,Isolation,Intermediate
862,스탠딩 힙 어브덕션 머신,Standing Hip Abduction Machine,하체,중둔근,중둔근,대둔근,머신,Isolation,Beginner
863,멀티 힙 머신 익스텐션,Multi-Hip Machine Extension,하체,둔근,대둔근,햄스트링,머신,Isolation,Beginner
864,멀티 힙 머신 플렉션,Multi-Hip Machine Flexion,하체,고관절굴근,고관절굴근,대퇴사두,머신,Isolation,Beginner
865,멀티 힙 머신 어브덕션,Multi-Hip Machine Abduction,하체,중둔근,중둔근,대둔근,머신,Isolation,Beginner
866,멀티 힙 머신 어덕션,Multi-Hip Machine Adduction,하체,내전근,내전근,-,머신,Isolation,Beginner
867,덤벨 리스트 익스텐션,Dumbbell Wrist Extension,팔,전완근,전완 신근,-,덤벨,Isolation,Beginner
868,케이블 리스트 컬,Cable Wrist Curl,팔,전완근,전완 굴근,-,케이블,Isolation,Beginner
869,패럴렐 바 행,Parallel Bar Hang,팔,전완근,전완 굴근,광배근,맨몸,Isolation,Beginner
870,타월 행,Towel Hang,팔,전완근,전완 굴근,광배근,맨몸,Isolation,Intermediate
871,팻 그립 데드리프트,Fat-Grip Deadlift,팔,전완근,전완 굴근,둔근·승모근,바벨,Compound,Advanced
872,팻 그립 컬,Fat-Grip Curl,팔,전완근,이두근·전완근,상완근,덤벨,Isolation,Intermediate
873,리스트 로테이션,Wrist Rotation,팔,전완근,회내근·회외근,-,덤벨,Isolation,Beginner
874,라이스 버킷 트레이닝,Rice Bucket Training,팔,전완근,전완 굴근·신근,-,기타,Isolation,Beginner
875,핸드 그리퍼,Hand Gripper,팔,전완근,전완 굴근,-,기타,Isolation,Beginner
876,플레이트 컬,Plate Curl,팔,전완근,상완요골근·전완근,이두근,원판,Isolation,Beginner
877,라잉 햄스트링 스트레치,Lying Hamstring Stretch,하체,스트레칭,햄스트링,비복근,맨몸,Isolation,Beginner
878,시티드 햄스트링 스트레치,Seated Hamstring Stretch,하체,스트레칭,햄스트링,척추기립근,맨몸,Isolation,Beginner
879,스탠딩 사이드 벤드 스트레치,Standing Side Bend Stretch,코어,스트레칭,복사근,광배근,맨몸,Isolation,Beginner
880,스핑크스 스트레치,Sphinx Stretch,코어,스트레칭,복직근,고관절굴근,맨몸,Isolation,Beginner
881,슬리퍼 스트레치,Sleeper Stretch,어깨,스트레칭,극하근,후면삼각근,맨몸,Isolation,Beginner
882,코너 펙 스트레치,Corner Pec Stretch,가슴,스트레칭,대흉근,전면삼각근,맨몸,Isolation,Beginner
883,레바터 스캐퓰러 스트레치,Levator Scapulae Stretch,목,스트레칭,견갑거근,상부승모근,맨몸,Isolation,Beginner
884,어퍼 트랩 스트레치,Upper Trap Stretch,목,스트레칭,상부승모근,견갑거근,맨몸,Isolation,Beginner
885,프로그 스트레치,Frog Stretch,하체,스트레칭,내전근,고관절,맨몸,Isolation,Beginner
886,이글 포즈,Eagle Pose,전신,요가,후면삼각근·둔근,코어,맨몸,Isolation,Intermediate
887,로우 런지 스트레치,Low Lunge Stretch,하체,스트레칭,고관절굴근,대퇴사두,맨몸,Isolation,Beginner
888,하이 런지 스트레치,High Lunge Stretch,하체,스트레칭,고관절굴근,햄스트링,맨몸,Isolation,Beginner
889,해피 베이비 포즈,Happy Baby Pose,하체,스트레칭,내전근·둔근,고관절,맨몸,Isolation,Beginner
890,시티드 포워드 폴드,Seated Forward Fold,하체,스트레칭,햄스트링,척추기립근,맨몸,Isolation,Beginner
891,스탠딩 포워드 폴드,Standing Forward Fold,하체,스트레칭,햄스트링,척추기립근,맨몸,Isolation,Beginner
892,와이드 레그 포워드 폴드,Wide-Leg Forward Fold,하체,스트레칭,내전근·햄스트링,척추기립근,맨몸,Isolation,Beginner
893,라잉 쿼드 스트레치,Lying Quad Stretch,하체,스트레칭,대퇴사두,고관절굴근,맨몸,Isolation,Beginner
894,IT밴드 스트레치,IT Band Stretch,하체,스트레칭,장경인대,대퇴근막장근,맨몸,Isolation,Beginner
895,피리포미스 스트레치,Piriformis Stretch,하체,스트레칭,이상근,둔근,맨몸,Isolation,Beginner
896,폼롤러 카프 릴리즈,Foam Roller Calf Release,하체,스트레칭,비복근,가자미근,기타,Isolation,Beginner
897,폼롤러 글루트 릴리즈,Foam Roller Glute Release,하체,스트레칭,둔근,이상근,기타,Isolation,Beginner
898,폼롤러 햄스트링 릴리즈,Foam Roller Hamstring Release,하체,스트레칭,햄스트링,둔근,기타,Isolation,Beginner
899,폼롤러 랫 릴리즈,Foam Roller Lat Release,등,스트레칭,광배근,대원근,기타,Isolation,Beginner
900,폼롤러 어덕터 릴리즈,Foam Roller Adductor Release,하체,스트레칭,내전근,고관절,기타,Isolation,Beginner
901,40야드 대시,40-Yard Dash,유산소,스피드,대퇴사두·둔근,햄스트링·비복근,맨몸,Compound,Intermediate
902,어질리티 래더 드릴,Agility Ladder Drill,유산소,민첩성,비복근·대퇴사두,고관절굴근,맨몸,Compound,Beginner
903,콘 드릴,Cone Drill,유산소,민첩성,대퇴사두·둔근,비복근,맨몸,Compound,Beginner
904,T-드릴,T-Drill,유산소,민첩성,대퇴사두·둔근,중둔근,맨몸,Compound,Intermediate
905,5-10-5 프로 어질리티,5-10-5 Pro Agility,유산소,민첩성,대퇴사두·둔근,중둔근,맨몸,Compound,Intermediate
906,카리오카,Carioca,유산소,민첩성,내전근·둔근,복사근,맨몸,Compound,Beginner
907,백페달,Backpedal,유산소,민첩성,햄스트링·둔근,비복근,맨몸,Compound,Beginner
908,버티컬 점프,Vertical Jump,전신,파워,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
909,뎁스 드롭,Depth Drop,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Advanced
910,오버헤드 메디신볼 쓰로우,Overhead Medicine Ball Throw,전신,파워,어깨·코어,광배근,메디신볼,Compound,Intermediate
911,로테이셔널 메디신볼 쓰로우,Rotational Medicine Ball Throw,전신,파워,복사근,둔근·어깨,메디신볼,Compound,Intermediate
912,파워 스킵,Power Skip,전신,파워,둔근·대퇴사두,고관절굴근,맨몸,Compound,Intermediate
913,리지스티드 스프린트,Resisted Sprint,전신,스피드,둔근·대퇴사두,햄스트링,슬레드,Compound,Advanced
914,허들 홉,Hurdle Hop,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
915,싱글 레그 홉,Single-Leg Hop,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
916,필라테스 사이드 킥,Pilates Side Kick,하체,필라테스,중둔근,대둔근,맨몸,Isolation,Beginner
917,필라테스 레그 서클,Pilates Leg Circle,코어,필라테스,고관절굴근,복직근,맨몸,Isolation,Beginner
918,필라테스 티저,Pilates Teaser,코어,필라테스,복직근,고관절굴근,맨몸,Isolation,Advanced
919,필라테스 스완,Pilates Swan,등,필라테스,척추기립근,둔근,맨몸,Isolation,Intermediate
920,필라테스 싱글 레그 스트레치,Pilates Single-Leg Stretch,코어,필라테스,복직근,고관절굴근,맨몸,Isolation,Beginner
921,필라테스 더블 레그 스트레치,Pilates Double-Leg Stretch,코어,필라테스,복직근,복횡근,맨몸,Isolation,Intermediate
922,필라테스 크리스크로스,Pilates Criss-Cross,코어,필라테스,복사근,복직근,맨몸,Isolation,Beginner
923,바레 플리에,Barre Plié,하체,바레,대퇴사두·둔근,내전근,맨몸,Isolation,Beginner
924,바레 렐레베,Barre Relevé,하체,바레,비복근,가자미근,맨몸,Isolation,Beginner
925,바레 아라베스크,Barre Arabesque,하체,바레,둔근,햄스트링,맨몸,Isolation,Intermediate
926,카우 페이스 포즈,Cow Face Pose,어깨,요가,후면삼각근,삼두근,맨몸,Isolation,Beginner
927,댄서 포즈,Dancer Pose,하체,요가,대퇴사두·둔근,코어,맨몸,Isolation,Advanced
928,하프 문 포즈,Half Moon Pose,하체,요가,중둔근·코어,햄스트링,맨몸,Isolation,Intermediate
